text1,text2,clean_text1,clean_text2,label,similarity_score
The flipped classroom model asks students to study content at home and practise in class.,The flipped classroom model asks students to study content at home widely and practise in class.,flipped classroom model asks students study content home practise class,flipped classroom model asks students study content home widely practise class,1,0.92
Gravity is a fundamental force that attracts objects with mass toward one another.,attracts objects with mass toward one another. Gravity is a fundamental force that,gravity fundamental force attracts objects mass toward one another,attracts objects mass toward one another gravity fundamental force,1,0.84
The Cold War was a geopolitical tension between the USA and Soviet Union after 1945.,The Cold War was a geopolitical tension between the USA and Soviet Union after 1945.,cold war geopolitical tension usa soviet union 1945,cold war geopolitical tension usa soviet union 1945,1,0.84
Cybersecurity protects computer systems and networks from digital attacks.,Cybersecurity protects computer systems and networks from digital attacks.,cybersecurity protects computer systems networks digital attacks,cybersecurity protects computer systems networks digital attacks,1,0.91
The placebo effect demonstrates the powerful role of the mind in healing.,role of the mind in healing. The placebo effect demonstrates the powerful,placebo effect demonstrates powerful role mind healing,role mind healing placebo effect demonstrates powerful,1,0.68
Telemedicine has expanded access to healthcare in remote and underserved areas.,healthcare in remote and underserved areas. Telemedicine has expanded access to,telemedicine expanded access healthcare remote underserved areas,healthcare remote underserved areas telemedicine expanded access,1,0.84
Explainable AI makes the decisions of machine learning models transparent and interpretable.,Explainable AI makes the decisions of machine learning models transparent and interpretable.,explainable ai makes decisions machine learning models transparent interpretable,explainable ai makes decisions machine learning models transparent interpretable,1,0.8
Central banks use open market operations to control the money supply.,Central banks use open market operations to control the money supply.,central banks use open market operations control money supply,central banks use open market operations control money supply,1,0.89
The suffragette movement fought for women's right to vote in the early 20th century.,The suffragette movement fought for women's right to vote in the early 20th century.,suffragette movement fought womens right vote early 20th century,suffragette movement fought womens right vote early 20th century,1,0.88
The transatlantic slave trade forcibly transported millions of Africans to the Americas.,The transatlantic slave trade forcibly transported millions of Africans to the Americas.,transatlantic slave trade forcibly transported millions africans americas,transatlantic slave trade forcibly transported millions africans americas,1,0.87
Antibiotics work by inhibiting bacterial cell wall synthesis.,Antibiotics work often by inhibiting bacterial cell wall synthesis.,antibiotics work inhibiting bacterial cell wall synthesis,antibiotics work often inhibiting bacterial cell wall synthesis,1,0.84
DNA carries the genetic information of all living organisms.,The library catalogues its collection using the Dewey Decimal Classification system.,dna carries genetic information living organisms,library catalogues collection using dewey decimal classification system,0,0.02
The circular economy aims to eliminate waste by reusing and recycling materials.,The circular economy aims to eliminate waste by reusing and recycling materials.,circular economy aims eliminate waste reusing recycling materials,circular economy aims eliminate waste reusing recycling materials,1,0.73
Artificial intelligence refers to the simulation of human intelligence in machines.,Evidence suggests that artificial intelligence refers to the simulation of human intelligence in machines.,artificial intelligence refers simulation human intelligence machines,evidence suggests artificial intelligence refers simulation human intelligence machines,1,0.66
Organ transplantation saves thousands of lives annually worldwide.,Organ transplantation saves thousands of lives annually worldwide.,organ transplantation saves thousands lives annually worldwide,organ transplantation saves thousands lives annually worldwide,1,0.74
Gradient descent is an optimisation algorithm that minimises a model's loss function.,Gradient descent is an optimisation algorithm notably that minimises a model's loss function.,gradient descent optimisation algorithm minimises models loss function,gradient descent optimisation algorithm notably minimises models loss function,1,0.9
Hyperparameter tuning optimises model settings that are not learned from data.,Hyperparameter tuning optimises model settings that as has been documented extensively in scientific literature.,hyperparameter tuning optimises model settings learned data,hyperparameter tuning optimises model settings documented extensively scientific literature,1,0.66
The Berlin Wall fell in 1989 marking the end of communist rule in East Germany.,The Berlin Wall fell in 1989 marking the end of communist rule in East Germany.,berlin wall fell 1989 marking end communist rule east germany,berlin wall fell 1989 marking end communist rule east germany,1,0.72
Stars form from clouds of gas and dust collapsing under their own gravity.,The football team won the championship after a dramatic penalty shootout.,stars form clouds gas dust collapsing gravity,football team championship dramatic penalty shootout,0,0.04
DNA carries the genetic information of all living organisms.,Fresh pasta is made from flour and eggs kneaded into a smooth dough.,dna carries genetic information living organisms,fresh pasta made flour eggs kneaded smooth dough,0,0.05
Plate tectonics explains the movement of Earth lithospheric plates.,Fresh pasta is made from flour and eggs kneaded into a smooth dough.,plate tectonics explains movement earth lithospheric plates,fresh pasta made flour eggs kneaded smooth dough,0,0.08
The law of conservation of energy states that energy cannot be created or destroyed.,It has been established that the law of conservation of energy states that energy cannot be created or destroyed.,law conservation energy states energy cannot created destroyed,established law conservation energy states energy cannot created destroyed,1,0.77
The nitrogen cycle is disrupted by excessive fertiliser use in agriculture.,Evidence suggests that the nitrogen cycle is disrupted by excessive fertiliser use in agriculture.,nitrogen cycle disrupted excessive fertiliser use agriculture,evidence suggests nitrogen cycle disrupted excessive fertiliser use agriculture,1,0.96
Wetlands provide critical ecosystem services including flood regulation.,"According to established theory, wetlands provide critical ecosystem services including flood regulation.",wetlands provide critical ecosystem services including flood regulation,according established theory wetlands provide critical ecosystem services including flood regulation,1,0.66
Digital literacy has become an essential skill in the modern workforce.,Digital literacy has become an essential skill in the modern workforce.,digital literacy become essential skill modern workforce,digital literacy become essential skill modern workforce,1,0.74
Stem cells have the potential to develop into many different cell types.,Stem cells have the potential to develop into many different cell types.,stem cells potential develop many different cell types,stem cells potential develop many different cell types,1,0.87
Electromagnetic radiation travels in waves and includes visible light and X-rays.,Electromagnetic radiation travels in waves and includes visible light and X-rays.,electromagnetic radiation travels waves includes visible light xrays,electromagnetic radiation travels waves includes visible light xrays,1,0.72
Foreign direct investment occurs when a company invests in business operations abroad.,"According to established theory, foreign direct investment occurs when a company invests in business operations abroad.",foreign direct investment occurs company invests business operations abroad,according established theory foreign direct investment occurs company invests business operations abroad,1,0.75
Quantum computing uses quantum mechanical phenomena to perform computations.,Cultural immersion travel helps visitors understand local customs and traditions.,quantum computing uses quantum mechanical phenomena perform computations,cultural immersion travel helps visitors understand local customs traditions,0,0.08
Osmosis is the movement of water across a semi-permeable membrane.,Osmosis is the movement of water across a semi-permeable membrane.,osmosis movement water across semipermeable membrane,osmosis movement water across semipermeable membrane,1,0.79
The Berlin Wall fell in 1989 marking the end of communist rule in East Germany.,Scholars generally agree that the Berlin Wall fell in 1989 marking the end of communist rule in East Germany.,berlin wall fell 1989 marking end communist rule east germany,scholars generally agree berlin wall fell 1989 marking end communist rule east germany,1,0.87
The ozone layer absorbs most of the sun ultraviolet radiation.,Renaissance painters developed perspective techniques to create depth on flat surfaces.,ozone layer absorbs sun ultraviolet radiation,renaissance painters developed perspective techniques create depth flat surfaces,0,0.04
DNA carries the genetic information of all living organisms.,DNA carries the genetic information of and further study continues to refine our understanding.,dna carries genetic information living organisms,dna carries genetic information study continues refine understanding,1,0.63
Robotic process automation uses software robots to automate repetitive tasks.,Studies have shown that robotic process automation uses software robots to automate repetitive tasks.,robotic process automation uses software robots automate repetitive tasks,studies shown robotic process automation uses software robots automate repetitive tasks,1,0.63
The placebo effect demonstrates the powerful role of the mind in healing.,The placebo effect demonstrates the powerful and this has significant implications for modern research.,placebo effect demonstrates powerful role mind healing,placebo effect demonstrates powerful significant implications modern research,1,0.54
The Black Death killed approximately one third of Europe's population in the 14th century.,The Black Death killed approximately one third and related phenomena have been widely observed.,black death killed approximately one third europes population 14th century,black death killed approximately one third related phenomena widely observed,1,0.7
Comparative advantage explains why countries specialise in producing certain goods.,Comparative advantage explains why countries specialise in producing certain goods.,comparative advantage explains countries specialise producing certain goods,comparative advantage explains countries specialise producing certain goods,1,0.89
The Phillips curve describes the inverse relationship between inflation and unemployment.,"According to established theory, the Phillips curve describes the inverse relationship between inflation and unemployment.",phillips curve describes inverse relationship inflation unemployment,according established theory phillips curve describes inverse relationship inflation unemployment,1,0.77
Neural networks are computational models inspired by the human brain.,Evidence suggests that neural networks are computational models inspired by the human brain.,neural networks computational models inspired human brain,evidence suggests neural networks computational models inspired human brain,1,0.76
Biofuels derived from crops can replace fossil fuels but compete with food production.,Biofuels derived from crops can replace fossil fuels but compete with food production.,biofuels derived crops replace fossil fuels compete food production,biofuels derived crops replace fossil fuels compete food production,1,0.75
Overfitting occurs when a model learns noise in the training data rather than patterns.,Overfitting happens when a model learns noise in the training data rather than patterns.,overfitting occurs model learns noise training data rather patterns,overfitting happens model learns noise training data rather patterns,1,0.85
Radioactive decay is the process by which unstable atomic nuclei lose energy.,The detective uncovered the key evidence buried beneath the old mansion.,radioactive decay process unstable atomic nuclei lose energy,detective uncovered key evidence buried beneath old mansion,0,0.06
Regular health screenings enable early identification of chronic conditions.,The literature confirms that regular health screenings enable early identification of chronic conditions.,regular health screenings enable early identification chronic conditions,literature confirms regular health screenings enable early identification chronic conditions,1,0.61
Radioactive decay is the process by which unstable atomic nuclei lose energy.,which unstable atomic nuclei lose energy. Radioactive decay is the process by,radioactive decay process unstable atomic nuclei lose energy,unstable atomic nuclei lose energy radioactive decay process,1,0.8
The water cycle describes the continuous movement of water through the environment.,The football team won the championship after a dramatic penalty shootout.,water cycle describes continuous movement water environment,football team championship dramatic penalty shootout,0,0.05
Environmental impact assessments evaluate the effects of development projects.,Environmental impact assessments evaluate often the effects of development projects.,environmental impact assessments evaluate effects development projects,environmental impact assessments evaluate often effects development projects,1,0.91
Chronic stress increases cortisol levels and contributes to a range of illnesses.,contributes to a range of illnesses. Chronic stress increases cortisol levels and,chronic stress increases cortisol levels contributes range illnesses,contributes range illnesses chronic stress increases cortisol levels,1,0.74
The Cold War was a geopolitical tension between the USA and Soviet Union after 1945.,The Cold War was a geopolitical tension between the USA and Soviet Union after 1945.,cold war geopolitical tension usa soviet union 1945,cold war geopolitical tension usa soviet union 1945,1,0.83
The Cold War was a geopolitical tension between the USA and Soviet Union after 1945.,The Cold War was a geopolitical tension between the USA and Soviet Union after 1945.,cold war geopolitical tension usa soviet union 1945,cold war geopolitical tension usa soviet union 1945,1,0.77
The Black Death killed approximately one third of Europe's population in the 14th century.,The Black Death killed about one third of Europe's population in the 14th century.,black death killed approximately one third europes population 14th century,black death killed one third europes population 14th century,1,0.9
Cybersecurity protects computer systems and networks from digital attacks.,Cybersecurity protects computer systems and networks as has been documented extensively in scientific literature.,cybersecurity protects computer systems networks digital attacks,cybersecurity protects computer systems networks documented extensively scientific literature,1,0.52
"Dementia affects memory, thinking, and behaviour in millions of older adults.",Swimming training typically involves multiple sessions per day for elite athletes.,dementia affects memory thinking behaviour millions older adults,swimming training typically involves multiple sessions per day elite athletes,0,0.03
Fiscal policy involves government spending and taxation to influence the economy.,Fiscal policy includes government spending and taxation to influence the economy.,fiscal policy involves government spending taxation influence economy,fiscal policy includes government spending taxation influence economy,1,0.75
Regular health screenings enable early identification of chronic conditions.,Regular health screenings enable early identification of chronic conditions.,regular health screenings enable early identification chronic conditions,regular health screenings enable early identification chronic conditions,1,0.81
RNA plays a critical role in translating genetic information into proteins.,Studies have shown that rNA plays a critical role in translating genetic information into proteins.,rna plays critical role translating genetic information proteins,studies shown rna plays critical role translating genetic information proteins,1,0.66
Marine protected areas help restore fish populations and ocean ecosystems.,Marine protected areas help restore fish populations and ocean ecosystems.,marine protected areas help restore fish populations ocean ecosystems,marine protected areas help restore fish populations ocean ecosystems,1,0.77
Chronic stress increases cortisol levels and contributes to a range of illnesses.,It has been established that chronic stress increases cortisol levels and contributes to a range of illnesses.,chronic stress increases cortisol levels contributes range illnesses,established chronic stress increases cortisol levels contributes range illnesses,1,0.74
The American Civil War was fought between 1861 and 1865 over slavery and secession.,The American Civil War was fought between 1861 and 1865 over slavery and secession.,american civil war fought 1861 1865 slavery secession,american civil war fought 1861 1865 slavery secession,1,0.8
Gradient descent is an optimisation algorithm that minimises a model's loss function.,The Tour de France is the most prestigious cycling race in the world.,gradient descent optimisation algorithm minimises models loss function,tour de france prestigious cycling race world,0,0.02
The transatlantic slave trade forcibly transported millions of Africans to the Americas.,millions of Africans to the Americas. The transatlantic slave trade forcibly transported,transatlantic slave trade forcibly transported millions africans americas,millions africans americas transatlantic slave trade forcibly transported,1,0.89
Carbon capture technology removes CO2 from the atmosphere to reduce warming.,Carbon capture technology removes CO2 from the atmosphere to reduce warming.,carbon capture technology removes co2 atmosphere reduce warming,carbon capture technology removes co2 atmosphere reduce warming,1,0.72
Teachers who receive professional development deliver more effective instruction.,Teachers who receive professional development typically deliver more effective instruction.,teachers receive professional development deliver effective instruction,teachers receive professional development typically deliver effective instruction,1,0.9
Venture capital provides funding to early-stage startups with high growth potential.,early-stage startups with high growth potential. Venture capital provides funding to,venture capital provides funding earlystage startups high growth potential,earlystage startups high growth potential venture capital provides funding,1,0.67
Plate tectonics explains the movement of Earth's lithospheric plates.,Airport security screening has become more sophisticated since the early 2000s.,plate tectonics explains movement earths lithospheric plates,airport security screening become sophisticated since early 2000s,0,0.05
The transatlantic slave trade forcibly transported millions of Africans to the Americas.,Studies have shown that the transatlantic slave trade forcibly transported millions of Africans to the Americas.,transatlantic slave trade forcibly transported millions africans americas,studies shown transatlantic slave trade forcibly transported millions africans americas,1,0.65
Biodiversity loss weakens ecosystem resilience to climate and human pressures.,to climate and human pressures. Biodiversity loss weakens ecosystem resilience,biodiversity loss weakens ecosystem resilience climate human pressures,climate human pressures biodiversity loss weakens ecosystem resilience,1,0.68
Organ transplantation saves thousands of lives annually worldwide.,Organ transplantation saves thousands of lives annually worldwide. This has been well established in the field.,organ transplantation saves thousands lives annually worldwide,organ transplantation saves thousands lives annually worldwide well established field,1,0.66
Evolution occurs through natural selection acting on genetic variation.,Ballet requires years of rigorous training to develop technique and artistry.,evolution occurs natural selection acting genetic variation,ballet requires years rigorous training develop technique artistry,0,0.07
Enzymes are biological catalysts that speed up chemical reactions in the body.,Enzymes are biological catalysts that speed up chemical reactions in the body.,enzymes biological catalysts speed chemical reactions body,enzymes biological catalysts speed chemical reactions body,1,0.82
Inflation reduces the purchasing power of money over time.,Scholars generally agree that inflation reduces the purchasing power of money over time.,inflation reduces purchasing power money time,scholars generally agree inflation reduces purchasing power money time,1,0.66
Green roofs and urban trees reduce city temperatures and improve air quality.,Green roofs and urban trees reduce and this has significant implications for modern research.,green roofs urban trees reduce city temperatures improve air quality,green roofs urban trees reduce significant implications modern research,1,0.63
Physical rehabilitation helps patients regain function after injury or surgery.,Current understanding holds that physical rehabilitation helps patients regain function after injury or surgery.,physical rehabilitation helps patients regain function injury surgery,current understanding holds physical rehabilitation helps patients regain function injury surgery,1,0.73
The Paris Agreement aims to limit global warming to 1.5 degrees Celsius.,global warming to 1.5 degrees Celsius. The Paris Agreement aims to limit,paris agreement aims limit global warming 15 degrees celsius,global warming 15 degrees celsius paris agreement aims limit,1,0.84
Derivatives are financial instruments whose value depends on an underlying asset.,Scholars generally agree that derivatives are financial instruments whose value depends on an underlying asset.,derivatives financial instruments whose value depends underlying asset,scholars generally agree derivatives financial instruments whose value depends underlying asset,1,0.62
Cloud computing delivers computing services over the internet on a pay-as-you-go basis.,Cloud computing delivers computing services over the internet on a pay-as-you-go basis.,cloud computing delivers computing services internet payasyougo basis,cloud computing delivers computing services internet payasyougo basis,1,0.84
Neural networks are computational models inspired by the human brain.,Neural networks are computational models inspired by the human brain.,neural networks computational models inspired human brain,neural networks computational models inspired human brain,1,0.86
The human brain contains approximately 86 billion neurons.,The human brain contains approximately 86 billion neurons. This has been well established in the field.,human brain contains approximately 86 billion neurons,human brain contains approximately 86 billion neurons well established field,1,0.8
Marine protected areas help restore fish populations and ocean ecosystems.,"According to established theory, marine protected areas help restore fish populations and ocean ecosystems.",marine protected areas help restore fish populations ocean ecosystems,according established theory marine protected areas help restore fish populations ocean ecosystems,1,0.69
The placebo effect demonstrates the powerful role of the mind in healing.,The placebo effect shows the powerful role of the mind in healing.,placebo effect demonstrates powerful role mind healing,placebo effect shows powerful role mind healing,1,0.9
Physical activity releases endorphins which improve mood and reduce anxiety.,improve mood and reduce anxiety. Physical activity releases endorphins which,physical activity releases endorphins improve mood reduce anxiety,improve mood reduce anxiety physical activity releases endorphins,1,0.76
DNA carries the genetic information of all living organisms.,Urban planning shapes the layout of cities to optimise transport and living space.,dna carries genetic information living organisms,urban planning shapes layout cities optimise transport living space,0,0.07
Machine learning enables computers to learn from data without being explicitly programmed.,"Chocolate is made from cacao beans that are fermented, dried, and roasted.",machine learning enables computers learn data without explicitly programmed,chocolate made cacao beans fermented dried roasted,0,0.07
Cybersecurity protects computer systems and networks from digital attacks.,and networks from digital attacks. Cybersecurity protects computer systems,cybersecurity protects computer systems networks digital attacks,networks digital attacks cybersecurity protects computer systems,1,0.72
The immune system uses antibodies to neutralise foreign pathogens.,Research indicates that the immune system uses antibodies to neutralise foreign pathogens.,immune system uses antibodies neutralise foreign pathogens,research indicates immune system uses antibodies neutralise foreign pathogens,1,0.7
Climate change is driven primarily by the emission of greenhouse gases.,Overtourism in popular destinations has raised concerns about cultural preservation.,climate change driven primarily emission greenhouse gases,overtourism popular destinations raised concerns cultural preservation,0,0.01
Neurons communicate through electrical impulses and chemical neurotransmitters.,Neurons communicate through electrical impulses and chemical neurotransmitters. This has been well established in the field.,neurons communicate electrical impulses chemical neurotransmitters,neurons communicate electrical impulses chemical neurotransmitters well established field,1,0.91
Soil erosion threatens agricultural productivity and water quality.,It has been established that soil erosion threatens agricultural productivity and water quality.,soil erosion threatens agricultural productivity water quality,established soil erosion threatens agricultural productivity water quality,1,0.75
The human brain contains approximately 86 billion neurons.,Ballet requires years of rigorous training to develop technique and artistry.,human brain contains approximately 86 billion neurons,ballet requires years rigorous training develop technique artistry,0,0.03
The Cold War was a geopolitical tension between the USA and Soviet Union after 1945.,The Cold War was a geopolitical tension between the USA and Soviet Union after 1945.,cold war geopolitical tension usa soviet union 1945,cold war geopolitical tension usa soviet union 1945,1,0.87
Natural language processing enables computers to understand human language.,computers to understand human language. Natural language processing enables,natural language processing enables computers understand human language,computers understand human language natural language processing enables,1,0.93
The water cycle describes the continuous movement of water through the environment.,The water cycle describes the continuous movement of water via the environment.,water cycle describes continuous movement water environment,water cycle describes continuous movement water via environment,1,0.8
Cancer occurs when cells divide uncontrollably and form tumours.,Cancer happens when cells divide uncontrollably and form tumours.,cancer occurs cells divide uncontrollably form tumours,cancer happens cells divide uncontrollably form tumours,1,0.85
Tidal forces are caused by the gravitational pull of the moon and sun on Earth.,pull of the moon and sun on Earth. Tidal forces are caused by the gravitational,tidal forces caused gravitational pull moon sun earth,pull moon sun earth tidal forces caused gravitational,1,0.81
Critical thinking skills enable students to evaluate evidence and form reasoned arguments.,Critical thinking skills enable students to and this has significant implications for modern research.,critical thinking skills enable students evaluate evidence form reasoned arguments,critical thinking skills enable students significant implications modern research,1,0.61
Fiscal policy involves government spending and taxation to influence the economy.,Fiscal policy includes government spending and taxation to influence the economy.,fiscal policy involves government spending taxation influence economy,fiscal policy includes government spending taxation influence economy,1,0.88
Generative adversarial networks consist of a generator and a discriminator network.,Heritage sites designated by UNESCO receive international protection and funding.,generative adversarial networks consist generator discriminator network,heritage sites designated unesco receive international protection funding,0,0.04
Wetlands provide critical ecosystem services including flood regulation.,Wetlands provide critical ecosystem services including flood regulation.,wetlands provide critical ecosystem services including flood regulation,wetlands provide critical ecosystem services including flood regulation,1,0.78
Foreign direct investment occurs when a company invests in business operations abroad.,It has been established that foreign direct investment occurs when a company invests in business operations abroad.,foreign direct investment occurs company invests business operations abroad,established foreign direct investment occurs company invests business operations abroad,1,0.74
Neurons communicate through electrical impulses and chemical neurotransmitters.,Neurons communicate via electrical impulses and chemical neurotransmitters.,neurons communicate electrical impulses chemical neurotransmitters,neurons communicate via electrical impulses chemical neurotransmitters,1,0.75
DNA carries the genetic information of all living organisms.,Amateur astronomy allows enthusiasts to observe planets and deep-sky objects.,dna carries genetic information living organisms,amateur astronomy allows enthusiasts observe planets deepsky objects,0,0.02
The nervous system coordinates voluntary and involuntary actions of the body.,Ecotourism aims to minimise environmental impact while supporting local communities.,nervous system coordinates voluntary involuntary actions body,ecotourism aims minimise environmental impact supporting local communities,0,0.05
The nitrogen cycle is disrupted by excessive fertiliser use in agriculture.,Research indicates that the nitrogen cycle is disrupted by excessive fertiliser use in agriculture.,nitrogen cycle disrupted excessive fertiliser use agriculture,research indicates nitrogen cycle disrupted excessive fertiliser use agriculture,1,0.79
The Renaissance was a cultural movement that originated in 14th century Italy.,Baking is a precise science requiring exact measurements and temperatures.,renaissance cultural movement originated 14th century italy,baking precise science requiring exact measurements temperatures,0,0.01
Christopher Columbus reached the Americas in 1492 during his westward voyage.,Christopher Columbus reached the Americas in and further study continues to refine our understanding.,christopher columbus reached americas 1492 westward voyage,christopher columbus reached americas study continues refine understanding,1,0.68
Universal design for learning creates flexible pathways for all types of learners.,Research indicates that universal design for learning creates flexible pathways for all types of learners.,universal design learning creates flexible pathways types learners,research indicates universal design learning creates flexible pathways types learners,1,0.73
Genetic predisposition plays a role in the development of many diseases.,Genetic predisposition plays a role in the development of many diseases.,genetic predisposition plays role development many diseases,genetic predisposition plays role development many diseases,1,0.89
"The first modern Olympics were held in Athens, Greece in 1896.",Classical music concerts are held in purpose-built concert halls worldwide.,first modern olympics held athens greece 1896,classical music concerts held purposebuilt concert halls worldwide,0,0.07
Ecological restoration projects aim to rebuild degraded natural habitats.,Ecological restoration projects aim to rebuild degraded natural habitats.,ecological restoration projects aim rebuild degraded natural habitats,ecological restoration projects aim rebuild degraded natural habitats,1,0.79
Wildfires are becoming more frequent and intense due to climate change.,Wildfires are becoming more frequent and and further study continues to refine our understanding.,wildfires becoming frequent intense due climate change,wildfires becoming frequent study continues refine understanding,1,0.57
Blockchain technology provides a decentralised and immutable ledger for transactions.,Blockchain technology provides a decentralised frequently and immutable ledger for transactions.,blockchain technology provides decentralised immutable ledger transactions,blockchain technology provides decentralised frequently immutable ledger transactions,1,0.97
The nervous system coordinates voluntary and involuntary actions of the body.,The novel as a literary form emerged in Europe during the 18th century.,nervous system coordinates voluntary involuntary actions body,novel literary form emerged europe 18th century,0,0.07
The water cycle describes the continuous movement of water through the environment.,Cruise ships carry thousands of passengers across oceans to multiple destinations.,water cycle describes continuous movement water environment,cruise ships carry thousands passengers across oceans multiple destinations,0,0.07
Evolution occurs through natural selection acting on genetic variation.,Ballet requires years of rigorous training to develop technique and artistry.,evolution occurs natural selection acting genetic variation,ballet requires years rigorous training develop technique artistry,0,0.02
Autonomous vehicles use sensors and AI to navigate without human input.,The library catalogues its collection using the Dewey Decimal Classification system.,autonomous vehicles use sensors ai navigate without human input,library catalogues collection using dewey decimal classification system,0,0.06
Tidal forces are caused by the gravitational pull of the moon and sun on Earth.,Scholars generally agree that tidal forces are caused by the gravitational pull of the moon and sun on Earth.,tidal forces caused gravitational pull moon sun earth,scholars generally agree tidal forces caused gravitational pull moon sun earth,1,0.68
The water cycle describes the continuous movement of water through the environment.,"Carpentry requires skill in measuring, cutting, and joining wooden materials.",water cycle describes continuous movement water environment,carpentry requires skill measuring cutting joining wooden materials,0,0.08
Big data analytics extracts meaningful insights from extremely large datasets.,Big data analytics extracts meaningful insights from extremely large datasets.,big data analytics extracts meaningful insights extremely large datasets,big data analytics extracts meaningful insights extremely large datasets,1,0.79
Edge computing processes data closer to the source rather than in centralised servers.,Edge computing processes data closer to the source rather than in centralised servers.,edge computing processes data closer source rather centralised servers,edge computing processes data closer source rather centralised servers,1,0.74
The nervous system coordinates voluntary and involuntary actions of the body.,Renaissance painters developed perspective techniques to create depth on flat surfaces.,nervous system coordinates voluntary involuntary actions body,renaissance painters developed perspective techniques create depth flat surfaces,0,0.04
Artificial intelligence refers to the simulation of human intelligence in machines.,Evidence suggests that artificial intelligence refers to the simulation of human intelligence in machines.,artificial intelligence refers simulation human intelligence machines,evidence suggests artificial intelligence refers simulation human intelligence machines,1,0.78
Peer tutoring improves outcomes for both the tutor and the student being tutored.,"According to established theory, peer tutoring improves outcomes for both the tutor and the student being tutored.",peer tutoring improves outcomes tutor student tutored,according established theory peer tutoring improves outcomes tutor student tutored,1,0.67
Fiscal policy involves government spending and taxation to influence the economy.,Fiscal policy includes government spending and taxation to influence the economy.,fiscal policy involves government spending taxation influence economy,fiscal policy includes government spending taxation influence economy,1,0.8
Green roofs and urban trees reduce city temperatures and improve air quality.,Green roofs and urban trees reduce which is a key concept in this domain.,green roofs urban trees reduce city temperatures improve air quality,green roofs urban trees reduce key concept domain,1,0.72
"The speed of light in a vacuum is approximately 299,792 kilometres per second.","The speed of light in a vacuum is about 299,792 kilometres per second.",speed light vacuum approximately 299792 kilometres per second,speed light vacuum 299792 kilometres per second,1,0.78
Noise pollution from traffic and industry harms both human health and wildlife.,Research indicates that noise pollution from traffic and industry harms both human health and wildlife.,noise pollution traffic industry harms human health wildlife,research indicates noise pollution traffic industry harms human health wildlife,1,0.77
Christopher Columbus reached the Americas in 1492 during his westward voyage.,Christopher Columbus reached the Americas in 1492 during his westward voyage.,christopher columbus reached americas 1492 westward voyage,christopher columbus reached americas 1492 westward voyage,1,0.73
Evolution occurs through natural selection acting on genetic variation.,Jazz music emerged in New Orleans in the early 20th century blending African rhythms.,evolution occurs natural selection acting genetic variation,jazz music emerged new orleans early 20th century blending african rhythms,0,0.06
"The first modern Olympics were held in Athens, Greece in 1896.","The first modern Olympics were held in Athens, Greece in 1896.",first modern olympics held athens greece 1896,first modern olympics held athens greece 1896,1,0.77
Food waste contributes significantly to greenhouse gas emissions globally.,Food waste contributes significantly to greenhouse and related phenomena have been widely observed.,food waste contributes significantly greenhouse gas emissions globally,food waste contributes significantly greenhouse related phenomena widely observed,1,0.57
The Boston Tea Party in 1773 was a protest against British taxation in colonial America.,The Boston Tea Party in 1773 was a protest against British taxation in colonial America.,boston tea party 1773 protest british taxation colonial america,boston tea party 1773 protest british taxation colonial america,1,0.84
Microeconomics studies individual and firm-level decision making in markets.,The art auction house sold the painting for a record-breaking sum at the gala.,microeconomics studies individual firmlevel decision making markets,art auction house sold painting recordbreaking sum gala,0,0.07
The Berlin Wall fell in 1989 marking the end of communist rule in East Germany.,The Berlin Wall fell in 1989 marking the end of communist rule broadly in East Germany.,berlin wall fell 1989 marking end communist rule east germany,berlin wall fell 1989 marking end communist rule broadly east germany,1,0.92
API gateways manage and route requests between clients and backend services.,Research indicates that aPI gateways manage and route requests between clients and backend services.,api gateways manage route requests clients backend services,research indicates api gateways manage route requests clients backend services,1,0.73
"Globalisation has increased trade, investment, and cultural exchange worldwide.",The marathon runner completed the race in under two hours and thirty minutes.,globalisation increased trade investment cultural exchange worldwide,marathon runner completed race two hours thirty minutes,0,0.04
The water cycle describes the continuous movement of water through the environment.,Hostels offer affordable shared accommodation popular with young travellers.,water cycle describes continuous movement water environment,hostels offer affordable shared accommodation popular young travellers,0,0.01
Robotic process automation uses software robots to automate repetitive tasks.,Robotic process automation uses notably software robots to automate repetitive tasks.,robotic process automation uses software robots automate repetitive tasks,robotic process automation uses notably software robots automate repetitive tasks,1,0.98
Digital literacy has become an essential skill in the modern workforce.,Digital literacy has become an essential skill in the modern workforce.,digital literacy become essential skill modern workforce,digital literacy become essential skill modern workforce,1,0.87
Vaccination prevents infectious diseases by training the immune system.,Vaccination prevents infectious diseases by generally training the immune system.,vaccination prevents infectious diseases training immune system,vaccination prevents infectious diseases generally training immune system,1,0.88
The global burden of non-communicable diseases is rising rapidly.,Scholars generally agree that the global burden of non-communicable diseases is rising rapidly.,global burden noncommunicable diseases rising rapidly,scholars generally agree global burden noncommunicable diseases rising rapidly,1,0.73
The stock market reflects investor sentiment and expectations about future earnings.,The stock market reflects investor sentiment typically and expectations about future earnings.,stock market reflects investor sentiment expectations future earnings,stock market reflects investor sentiment typically expectations future earnings,1,0.95
Attention mechanisms allow neural networks to focus on relevant parts of the input.,Attention mechanisms allow neural networks to focus on relevant parts of the input.,attention mechanisms allow neural networks focus relevant parts input,attention mechanisms allow neural networks focus relevant parts input,1,0.86
