text1,text2,label,similarity_score
API gateways manage and route requests between clients and backend services.,requests between clients and backend services. API gateways manage and route,1,0.65
Free trade agreements reduce tariffs and barriers between participating countries.,and barriers between participating countries. Free trade agreements reduce tariffs,1,0.84
Microeconomics studies individual and firm-level decision making in markets.,Research indicates that microeconomics studies individual and firm-level decision making in markets.,1,0.75
Biodiversity refers to the variety of life forms found within a given ecosystem.,Biodiversity is defined as the variety of life forms found within a given ecosystem.,1,0.83
Wetlands provide critical ecosystem services including flood regulation.,Wetlands provide critical ecosystem services including flood regulation.,1,0.75
Cloud computing delivers computing services over the internet on a pay-as-you-go basis.,the internet on a pay-as-you-go basis. Cloud computing delivers computing services over,1,0.75
Social-emotional learning teaches students to manage emotions and build relationships.,The Trans-Siberian Railway is the longest railway line in the world.,0,0.05
The Aztec Empire was conquered by Spanish forces led by Hernando Cortes in 1521.,forces led by Hernando Cortes in 1521. The Aztec Empire was conquered by Spanish,1,0.71
World War II ended in 1945 with the surrender of Germany and Japan.,World War II ended in 1945 as has been documented extensively in scientific literature.,1,0.57
Precision and recall are evaluation metrics used to assess classification models.,Volunteer programmes connect skilled professionals with communities in need.,0,0.02
Physical rehabilitation helps patients regain function after injury or surgery.,Overtourism in popular destinations has raised concerns about cultural preservation.,0,0.07
Environmental impact assessments evaluate the effects of development projects.,Environmental impact assessments evaluate the effects and this has significant implications for modern research.,1,0.58
Computer vision allows machines to interpret and understand visual information.,Computer vision allows machines to interpret and further study continues to refine our understanding.,1,0.55
Plate tectonics explains the movement of Earth lithospheric plates.,Backpacking across Southeast Asia has become popular among budget travellers.,0,0.03
The transatlantic slave trade forcibly transported millions of Africans to the Americas.,The transatlantic slave trade forcibly transported millions of Africans to the Americas.,1,0.77
The ozone layer absorbs most of the sun's ultraviolet radiation.,Street food markets offer affordable and diverse culinary experiences globally.,0,0.01
Stars form from clouds of gas and dust collapsing under their own gravity.,The football team won the championship after a dramatic penalty shootout.,0,0.03
Evolution occurs through natural selection acting on genetic variation.,Research indicates that evolution occurs through natural selection acting on genetic variation.,1,0.77
Air pollution is linked to respiratory conditions and reduced life expectancy.,Air pollution is linked to respiratory conditions and reduced life expectancy.,1,0.87
Robotic process automation uses software robots to automate repetitive tasks.,Robotic process automation uses software robots generally to automate repetitive tasks.,1,0.94
Digital twins are virtual replicas of physical systems used for simulation.,Digital twins are virtual replicas of physical systems used for simulation.,1,0.72
Serverless computing allows developers to run code without managing infrastructure.,Serverless computing allows developers to run code without managing infrastructure.,1,0.9
Quantum computing uses quantum mechanical phenomena to perform computations.,The novel as a literary form emerged in Europe during the 18th century.,0,0.02
Sleep deprivation impairs cognitive function and increases risk of chronic disease.,and increases risk of chronic disease. Sleep deprivation impairs cognitive function,1,0.69
Computer vision allows machines to interpret and understand visual information.,Computer vision allows machines to interpret and understand visual information.,1,0.87
Neurons communicate through electrical impulses and chemical neurotransmitters.,Impressionist painters sought to capture fleeting moments of light and colour.,0,0.04
Radioactive decay is the process by which unstable atomic nuclei lose energy.,Radioactive decay is how unstable atomic nuclei lose energy.,1,0.78
The Roman Empire fell in 476 AD when the last emperor was deposed.,The Roman Empire fell in 476 AD when the last emperor was deposed.,1,0.91
Carbon capture technology removes CO2 from the atmosphere to reduce warming.,Carbon capture technology removes CO2 from the atmosphere to reduce warming.,1,0.84
Neurons communicate through electrical impulses and chemical neurotransmitters.,Olympic Games bring together athletes from over 200 countries every four years.,0,0.04
Federated learning trains models across multiple devices without sharing raw data.,Volunteer programmes connect skilled professionals with communities in need.,0,0.04
The Berlin Wall fell in 1989 marking the end of communist rule in East Germany.,"According to established theory, the Berlin Wall fell in 1989 marking the end of communist rule in East Germany.",1,0.74
The gut microbiome plays a crucial role in digestion and immune regulation.,The gut microbiome plays a crucial which is a key concept in this domain.,1,0.65
Attention mechanisms allow neural networks to focus on relevant parts of the input.,Impressionist painters sought to capture fleeting moments of light and colour.,0,0.08
"Permafrost thaw releases methane, accelerating global warming.",Fresh pasta is made from flour and eggs kneaded into a smooth dough.,0,0.05
Bond yields move inversely to bond prices in fixed income markets.,Bond yields move inversely to bond prices in fixed income markets.,1,0.85
Opportunity cost is the value of the next best alternative foregone.,Opportunity cost is the value of which is a key concept in this domain.,1,0.54
Growth mindset theory suggests that intelligence can be developed through effort.,Growth mindset theory suggests that intelligence can be developed via effort.,1,0.76
The theory of relativity was developed by Albert Einstein in the early 20th century.,The theory of relativity was developed by Albert Einstein in the early broadly 20th century.,1,0.96
The speed of sound in air at 20 degrees Celsius is about 343 metres per second.,The speed of sound in air at 20 degrees Celsius generally is about 343 metres per second.,1,0.92
The water cycle describes the continuous movement of water through the environment.,Photography transformed how humans document and interpret reality.,0,0.02
Special educational needs require tailored support and inclusive classroom environments.,Special educational needs require tailored support and inclusive classroom environments.,1,0.83
The Silk Road was an ancient trade network connecting East Asia to the Mediterranean.,Scholars generally agree that the Silk Road was an ancient trade network connecting East Asia to the Mediterranean.,1,0.72
Vitamin D deficiency is linked to bone weakness and immune dysfunction.,Studies have shown that vitamin D deficiency is linked to bone weakness and immune dysfunction.,1,0.67
Bilingual education supports cognitive flexibility and academic achievement.,Studies have shown that bilingual education supports cognitive flexibility and academic achievement.,1,0.66
Plate tectonics explains the movement of Earth lithospheric plates.,Sushi originated in Japan as a method of preserving fish in fermented rice.,0,0.07
The Milky Way is a barred spiral galaxy containing over 200 billion stars.,Backpacking across Southeast Asia has become popular among budget travellers.,0,0.03
Mentoring programmes significantly improve retention and completion rates.,Mentoring programmes significantly improve retention and and related phenomena have been widely observed.,1,0.59
The circular economy aims to eliminate waste by reusing and recycling materials.,The circular economy aims to eliminate waste by reusing and recycling materials.,1,0.9
DNA carries the genetic information of all living organisms.,The football team won the championship after a dramatic penalty shootout.,0,0.08
The Great Wall of China was built over several dynasties to protect against invasions.,over several dynasties to protect against invasions. The Great Wall of China was built,1,0.68
Bilingual education supports cognitive flexibility and academic achievement.,Bilingual education supports cognitive flexibility and academic achievement.,1,0.76
Smoking is the leading preventable cause of cancer and respiratory disease.,Research indicates that smoking is the leading preventable cause of cancer and respiratory disease.,1,0.62
The Earth's core is composed primarily of iron and nickel.,Travel insurance protects against unexpected cancellations and medical emergencies.,0,0.02
Digital twins are virtual replicas of physical systems used for simulation.,of physical systems used for simulation. Digital twins are virtual replicas,1,0.68
Machine learning enables computers to learn from data without being explicitly programmed.,Machine learning enables computers to learn from data without being frequently explicitly programmed.,1,0.89
Elasticity measures how sensitive demand or supply is to changes in price.,Elasticity measures how sensitive demand or and related phenomena have been widely observed.,1,0.61
The American Civil War was fought between 1861 and 1865 over slavery and secession.,1861 and 1865 over slavery and secession. The American Civil War was fought between,1,0.8
Project-based learning encourages students to solve real-world problems collaboratively.,Studies have shown that project-based learning encourages students to solve real-world problems collaboratively.,1,0.73
Standardised testing has been criticised for narrowing the curriculum.,Current understanding holds that standardised testing has been criticised for narrowing the curriculum.,1,0.79
Radioactive decay is the process by which unstable atomic nuclei lose energy.,Urban planning shapes the layout of cities to optimise transport and living space.,0,0.03
Transformers process input data in parallel using self-attention layers.,Transformers process input data in parallel using self-attention layers.,1,0.75
Teachers who receive professional development deliver more effective instruction.,development deliver more effective instruction. Teachers who receive professional,1,0.66
The human brain contains approximately 86 billion neurons.,The library catalogues its collection using the Dewey Decimal Classification system.,0,0.04
Mental health is as important as physical health for overall wellbeing.,Mental health is as important as physical health for overall wellbeing.,1,0.89
Alexander the Great created one of the largest empires in ancient history by age 30.,Alexander the Great created one of the largest empires in ancient history by age 30.,1,0.85
Smoking is the leading preventable cause of cancer and respiratory disease.,Smoking is broadly the leading preventable cause of cancer and respiratory disease.,1,0.92
Neurons communicate through electrical impulses and chemical neurotransmitters.,Street food markets offer affordable and diverse culinary experiences globally.,0,0.06
Glacier retreat is accelerating due to rising global temperatures.,Current understanding holds that glacier retreat is accelerating due to rising global temperatures.,1,0.73
The Hundred Years War between England and France lasted from 1337 to 1453.,The Hundred Years War clearly between England and France lasted from 1337 to 1453.,1,0.9
"Microservices architecture breaks applications into small, independently deployable units.","Microservices architecture breaks applications into small, and further study continues to refine our understanding.",1,0.53
The human brain contains approximately 86 billion neurons.,Heritage sites designated by UNESCO receive international protection and funding.,0,0.07
The Industrial Revolution transformed manufacturing in Britain in the 18th century.,"According to established theory, the Industrial Revolution transformed manufacturing in Britain in the 18th century.",1,0.71
CRISPR-Cas9 allows scientists to edit specific sequences in the genome.,Backpacking across Southeast Asia has become popular among budget travellers.,0,0.06
DNA carries the genetic information of all living organisms.,Fresh pasta is made from flour and eggs kneaded into a smooth dough.,0,0.06
Gravity is a fundamental force that attracts objects with mass toward one another.,Gravity is a generally fundamental force that attracts objects with mass toward one another.,1,0.8
Inflation reduces the purchasing power of money over time.,Inflation reduces the purchasing power of money over time.,1,0.87
Cryptography secures communications through mathematical algorithms and keys.,Cryptography secures communications through mathematical largely algorithms and keys.,1,0.82
The theory of relativity was developed by Albert Einstein in the early 20th century.,The literature confirms that the theory of relativity was developed by Albert Einstein in the early 20th century.,1,0.78
Universal design for learning creates flexible pathways for all types of learners.,Universal design for learning creates flexible and further study continues to refine our understanding.,1,0.63
Robotic process automation uses software robots to automate repetitive tasks.,The literature confirms that robotic process automation uses software robots to automate repetitive tasks.,1,0.76
Homeostasis is the body's ability to maintain stable internal conditions.,Homeostasis is the body's ability to as has been documented extensively in scientific literature.,1,0.58
Unemployment rate measures the percentage of the labour force without a job.,Unemployment rate measures the percentage of the labour force without a job.,1,0.88
Obesity increases the risk of numerous chronic conditions including diabetes.,Heritage sites designated by UNESCO receive international protection and funding.,0,0.02
Electric vehicles help reduce transport emissions when powered by clean energy.,Electric vehicles help reduce transport emissions largely when powered by clean energy.,1,0.9
Peer tutoring improves outcomes for both the tutor and the student being tutored.,"Carpentry requires skill in measuring, cutting, and joining wooden materials.",0,0.05
Quantitative easing involves central banks purchasing securities to inject money.,Evidence suggests that quantitative easing involves central banks purchasing securities to inject money.,1,0.74
The ozone layer absorbs most of the sun ultraviolet radiation.,Street food markets offer affordable and diverse culinary experiences globally.,0,0.07
Latency refers to the delay between a request and the corresponding response.,Studies have shown that latency refers to the delay between a request and the corresponding response.,1,0.74
Elasticity measures how sensitive demand or supply is to changes in price.,Elasticity measures how sensitive demand or supply is to changes typically in price.,1,0.88
The nervous system coordinates voluntary and involuntary actions of the body.,Jazz music emerged in New Orleans in the early 20th century blending African rhythms.,0,0.06
The Cold War was a geopolitical tension between the USA and Soviet Union after 1945.,Evidence suggests that the Cold War was a geopolitical tension between the USA and Soviet Union after 1945.,1,0.96
Plate tectonics explains the movement of Earth lithospheric plates.,Cricket is the most popular sport on the Indian subcontinent by viewership.,0,0.02
Black holes are regions of spacetime where gravity is so strong that nothing can escape.,Black holes are regions of spacetime commonly where gravity is so strong that nothing can escape.,1,0.92
The Industrial Revolution transformed manufacturing in Britain in the 18th century.,The Industrial Revolution transformed manufacturing in Britain in the broadly 18th century.,1,0.94
Plate tectonics explains the movement of Earth's lithospheric plates.,Scholars generally agree that plate tectonics explains the movement of Earth's lithospheric plates.,1,0.64
Radioactive decay is the process by which unstable atomic nuclei lose energy.,The library catalogues its collection using the Dewey Decimal Classification system.,0,0.05
Ocean acidification threatens coral reefs and marine biodiversity.,Ocean acidification threatens coral reefs and marine biodiversity. This has been well established in the field.,1,0.83
Interest rates set by central banks influence borrowing costs across the economy.,Interest rates set by central banks influence borrowing costs across the economy.,1,0.85
Special educational needs require tailored support and inclusive classroom environments.,Overtourism in popular destinations has raised concerns about cultural preservation.,0,0.07
Reinforcement learning trains agents through a system of rewards and penalties.,Basketball was invented by James Naismith in 1891 using a peach basket.,0,0.05
The printing press was invented by Johannes Gutenberg around 1440.,Swimming training typically involves multiple sessions per day for elite athletes.,0,0.07
Austerity measures involve reducing government spending to reduce budget deficits.,Austerity measures involve reducing government spending to reduce budget deficits.,1,0.72
The water cycle describes the continuous movement of water through the environment.,Jazz music emerged in New Orleans in the early 20th century blending African rhythms.,0,0.05
Bond yields move inversely to bond prices in fixed income markets.,Street food markets offer affordable and diverse culinary experiences globally.,0,0.04
The human brain contains approximately 86 billion neurons.,The novel as a literary form emerged in Europe during the 18th century.,0,0.03
Neural networks are computational models inspired by the human brain.,Neural networks are computational models inspired by the human brain.,1,0.81
Federated learning trains models across multiple devices without sharing raw data.,Street food markets offer affordable and diverse culinary experiences globally.,0,0.04
Electromagnetic radiation travels in waves and includes visible light and X-rays.,and includes visible light and X-rays. Electromagnetic radiation travels in waves,1,0.7
Chronic stress increases cortisol levels and contributes to a range of illnesses.,Chronic stress increases cortisol levels and contributes to a range of illnesses.,1,0.88
Natural language processing enables computers to understand human language.,computers to understand human language. Natural language processing enables,1,0.78
Austerity measures involve reducing government spending to reduce budget deficits.,Austerity measures involve reducing government spending to reduce budget deficits.,1,0.74
Soil erosion threatens agricultural productivity and water quality.,Soil erosion threatens agricultural productivity and water quality. This has been well established in the field.,1,0.79
The League of Nations was established after World War I as an intergovernmental organisation.,Current understanding holds that the League of Nations was established after World War I as an intergovernmental organisation.,1,0.62
Growth mindset theory suggests that intelligence can be developed through effort.,Fashion trends shift with seasons and are influenced by culture and celebrity.,0,0.06
Digital twins are virtual replicas of physical systems used for simulation.,of physical systems used for simulation. Digital twins are virtual replicas,1,0.72
Hyperparameter tuning optimises model settings that are not learned from data.,Hyperparameter tuning optimises model settings that are not learned from data.,1,0.79
Social-emotional learning teaches students to manage emotions and build relationships.,Social-emotional learning teaches students to manage emotions and build relationships.,1,0.75
The ozone layer absorbs most of the sun ultraviolet radiation.,The football team won the championship after a dramatic penalty shootout.,0,0.04
Project-based learning encourages students to solve real-world problems collaboratively.,Project-based learning encourages students notably to solve real-world problems collaboratively.,1,0.92
Digital twins are virtual replicas of physical systems used for simulation.,Research indicates that digital twins are virtual replicas of physical systems used for simulation.,1,0.67
Gross domestic product measures the total economic output of a country.,Gross domestic product measures the total economic output of a country.,1,0.86
The ozone layer absorbs most of the sun ultraviolet radiation.,The Tour de France is the most prestigious cycling race in the world.,0,0.02
Wetlands provide critical ecosystem services including flood regulation.,Wetlands provide critical ecosystem services including flood regulation.,1,0.73
Renewable energy sources such as solar and wind produce no direct emissions.,Renewable energy sources such as solar and broadly wind produce no direct emissions.,1,0.88
DNA carries the genetic information of all living organisms.,The Trans-Siberian Railway is the longest railway line in the world.,0,0.05
Renewable energy sources such as solar and wind produce no direct emissions.,and wind produce no direct emissions. Renewable energy sources such as solar,1,0.66
Sleep deprivation impairs cognitive function and increases risk of chronic disease.,and increases risk of chronic disease. Sleep deprivation impairs cognitive function,1,0.7
The ozone layer absorbs most of the sun ultraviolet radiation.,Impressionist painters sought to capture fleeting moments of light and colour.,0,0.03
The discovery of penicillin by Alexander Fleming in 1928 revolutionised medicine.,Scholars generally agree that the discovery of penicillin by Alexander Fleming in 1928 revolutionised medicine.,1,0.79
A balanced diet rich in fruits and vegetables supports long-term health.,A balanced diet rich in fruits and vegetables supports long-term health.,1,0.9
Smoking is the leading preventable cause of cancer and respiratory disease.,cause of cancer and respiratory disease. Smoking is the leading preventable,1,0.79
Generative adversarial networks consist of a generator and a discriminator network.,Generative adversarial networks consist of a generator and a discriminator network.,1,0.8
Blended learning combines face-to-face instruction with online activities.,Blended learning combines face-to-face instruction with online activities.,1,0.86
Curriculum design should align learning objectives with assessment and instruction.,"Carpentry requires skill in measuring, cutting, and joining wooden materials.",0,0.04
Marine protected areas help restore fish populations and ocean ecosystems.,Marine protected areas help restore fish and this has significant implications for modern research.,1,0.56
Zero-emission buildings use insulation and renewable energy to minimise carbon footprints.,Zero-emission buildings use insulation and renewable energy to minimise broadly carbon footprints.,1,0.92
Dark matter makes up approximately 27 percent of the universe's total mass-energy.,Dark matter makes up about 27 percent of the universe's total mass-energy.,1,0.86
The transatlantic slave trade forcibly transported millions of Africans to the Americas.,The transatlantic slave trade forcibly transported millions of Africans to the Americas.,1,0.88
CRISPR-Cas9 allows scientists to edit specific sequences in the genome.,CRISPR-Cas9 allows scientists to edit specific sequences in the genome.,1,0.77
Bilingual education supports cognitive flexibility and academic achievement.,Bilingual education supports cognitive flexibility and academic achievement.,1,0.85
Hyperparameter tuning optimises model settings that are not learned from data.,Hyperparameter tuning optimises model settings that are not learned from data.,1,0.83
Comparative advantage explains why countries specialise in producing certain goods.,specialise in producing certain goods. Comparative advantage explains why countries,1,0.82
"Permafrost thaw releases methane, accelerating global warming.","Current understanding holds that permafrost thaw releases methane, accelerating global warming.",1,0.73
Unemployment rate measures the percentage of the labour force without a job.,Unemployment rate measures the percentage of the labour force without a job.,1,0.74
Economic inequality has widened significantly in many developed countries since the 1980s.,Economic inequality has widened considerably in many developed countries since the 1980s.,1,0.72
Blockchain technology provides a decentralised and immutable ledger for transactions.,Blockchain technology offers a decentralised and immutable ledger for transactions.,1,0.89
The ozone layer absorbs most of the sun ultraviolet radiation.,Impressionist painters sought to capture fleeting moments of light and colour.,0,0.07
Mentoring programmes significantly improve retention and completion rates.,Mentoring programmes significantly improve retention and as has been documented extensively in scientific literature.,1,0.71
Green roofs and urban trees reduce city temperatures and improve air quality.,Green roofs and urban trees reduce city temperatures and improve air quality.,1,0.85
Consumer price index tracks changes in the price level of a basket of goods.,Consumer price index tracks changes in the price level of a basket of goods.,1,0.91
Air pollution is linked to respiratory conditions and reduced life expectancy.,The Tour de France is the most prestigious cycling race in the world.,0,0.06
Teachers who receive professional development deliver more effective instruction.,Research indicates that teachers who receive professional development deliver more effective instruction.,1,0.61
The human brain contains approximately 86 billion neurons.,The detective uncovered the key evidence buried beneath the old mansion.,0,0.01
Noise pollution from traffic and industry harms both human health and wildlife.,Noise pollution from traffic and industry clearly harms both human health and wildlife.,1,0.97
Gravity is a fundamental force that attracts objects with mass toward one another.,Gravity is a fundamental force that attracts commonly objects with mass toward one another.,1,0.96
Artificial intelligence refers to the simulation of human intelligence in machines.,Artificial intelligence is defined as the simulation of human intelligence in machines.,1,0.88
The Renaissance was a cultural movement that originated in 14th century Italy.,The Renaissance was a cultural movement and this has significant implications for modern research.,1,0.68
Mental health is as important as physical health for overall wellbeing.,Mental health is as important as physical health for overall wellbeing.,1,0.83
Quantitative easing involves central banks purchasing securities to inject money.,"Gymnastics combines strength, flexibility, and artistic expression.",0,0.02
Cryptography secures communications through mathematical algorithms and keys.,Cryptography secures communications via mathematical algorithms and keys.,1,0.89
Serverless computing allows developers to run code without managing infrastructure.,The library catalogues its collection using the Dewey Decimal Classification system.,0,0.03
Plate tectonics explains the movement of Earth lithospheric plates.,The detective uncovered the key evidence buried beneath the old mansion.,0,0.02
Gradient descent is an optimisation algorithm that minimises a model's loss function.,Gradient descent is an optimisation algorithm and related phenomena have been widely observed.,1,0.69
Biodiversity refers to the variety of life forms found within a given ecosystem.,Biodiversity is defined as the variety of life forms found within a given ecosystem.,1,0.82
Stars form from clouds of gas and dust collapsing under their own gravity.,Impressionist painters sought to capture fleeting moments of light and colour.,0,0.02
The stock market reflects investor sentiment and expectations about future earnings.,The stock market reflects investor sentiment and expectations about future earnings.,1,0.76
Antibiotics should only be taken when prescribed to prevent antibiotic resistance.,Antibiotics should only be taken when prescribed to prevent antibiotic resistance.,1,0.78
Evolution occurs through natural selection acting on genetic variation.,Evolution occurs through natural selection acting and further study continues to refine our understanding.,1,0.54
Interest rates set by central banks influence borrowing costs across the economy.,Interest rates set by central banks influence borrowing costs across the economy.,1,0.78
Genetic predisposition plays a role in the development of many diseases.,Genetic predisposition plays a role in the development of many diseases.,1,0.87
DevOps integrates software development and IT operations to shorten delivery cycles.,DevOps integrates software development and IT operations to shorten delivery cycles.,1,0.75
The Berlin Wall fell in 1989 marking the end of communist rule in East Germany.,The Berlin Wall fell in 1989 marking the end of communist rule in East Germany.,1,0.72
The water cycle describes the continuous movement of water through the environment.,Cricket is the most popular sport on the Indian subcontinent by viewership.,0,0.07
Evolution occurs through natural selection acting on genetic variation.,Evolution occurs via natural selection acting on genetic variation.,1,0.75
Enzymes are biological catalysts that speed up chemical reactions in the body.,up chemical reactions in the body. Enzymes are biological catalysts that speed,1,0.74
The periodic table organises elements by atomic number and chemical properties.,Current understanding holds that the periodic table organises elements by atomic number and chemical properties.,1,0.78
Soil erosion threatens agricultural productivity and water quality.,"Gymnastics combines strength, flexibility, and artistic expression.",0,0.04
The Industrial Revolution transformed manufacturing in Britain in the 18th century.,The Industrial Revolution transformed manufacturing in Britain in the 18th century.,1,0.74
Evolution occurs through natural selection acting on genetic variation.,Evolution occurs via natural selection acting on genetic variation.,1,0.76
Zero-emission buildings use insulation and renewable energy to minimise carbon footprints.,Zero-emission buildings use insulation and renewable energy to minimise carbon footprints.,1,0.72
Adequate hydration is essential for kidney function and overall metabolism.,Scholars generally agree that adequate hydration is essential for kidney function and overall metabolism.,1,0.62
The Aztec Empire was conquered by Spanish forces led by Hernando Cortes in 1521.,The Aztec Empire was conquered by Spanish forces led by Hernando Cortes in 1521.,1,0.76
Food waste contributes significantly to greenhouse gas emissions globally.,It has been established that food waste contributes significantly to greenhouse gas emissions globally.,1,0.6
Biodiversity refers to the variety of life forms found within a given ecosystem.,Biodiversity is defined as the variety of life forms found within a given ecosystem.,1,0.84
The law of conservation of energy states that energy cannot be created or destroyed.,"Umami is the fifth basic taste alongside sweet, sour, salty, and bitter.",0,0.01
Type 2 diabetes is closely linked to obesity and physical inactivity.,The spice trade shaped global history by driving exploration and colonisation.,0,0.04
"The speed of light in a vacuum is approximately 299,792 kilometres per second.","The speed of light in a vacuum is about 299,792 kilometres per second.",1,0.87
DNA carries the genetic information of all living organisms.,Renaissance painters developed perspective techniques to create depth on flat surfaces.,0,0.08
The Paris Agreement aims to limit global warming to 1.5 degrees Celsius.,"Gymnastics combines strength, flexibility, and artistic expression.",0,0.03
The nervous system coordinates voluntary and involuntary actions of the body.,and involuntary actions of the body. The nervous system coordinates voluntary,1,0.79
The flipped classroom model asks students to study content at home and practise in class.,The flipped classroom model asks students to study content at home and practise in class.,1,0.73
Water scarcity affects over two billion people around the world.,Water scarcity affects over two billion people around the world.,1,0.87
The discovery of penicillin by Alexander Fleming in 1928 revolutionised medicine.,The discovery of penicillin by Alexander Fleming in 1928 revolutionised medicine.,1,0.83
Electric vehicles help reduce transport emissions when powered by clean energy.,Electric vehicles help reduce transport emissions when powered by clean energy.,1,0.73
The stock market reflects investor sentiment and expectations about future earnings.,sentiment and expectations about future earnings. The stock market reflects investor,1,0.88
The Phillips curve describes the inverse relationship between inflation and unemployment.,The Phillips curve describes the inverse relationship between inflation and unemployment.,1,0.79
The Great Wall of China was built over several dynasties to protect against invasions.,The Great Wall of China was built over several dynasties to protect against invasions.,1,0.8
Noise pollution from traffic and industry harms both human health and wildlife.,Noise pollution from traffic and industry harms both human health and wildlife.,1,0.85
Digital literacy has become an essential skill in the modern workforce.,"According to established theory, digital literacy has become an essential skill in the modern workforce.",1,0.93
The stock market reflects investor sentiment and expectations about future earnings.,sentiment and expectations about future earnings. The stock market reflects investor,1,0.83
Rising sea levels threaten low-lying coastal communities worldwide.,Rising sea levels threaten low-lying coastal communities worldwide.,1,0.74
The mitochondria produce ATP through cellular respiration.,The mitochondria produce ATP via cellular respiration.,1,0.92
The nervous system coordinates voluntary and involuntary actions of the body.,"Gymnastics combines strength, flexibility, and artistic expression.",0,0.07
Mahatma Gandhi led India's independence movement using non-violent civil disobedience.,Mahatma Gandhi led India's independence movement using non-violent civil disobedience.,1,0.86
Generative adversarial networks consist of a generator and a discriminator network.,Generative adversarial networks consist of a and related phenomena have been widely observed.,1,0.53
Elasticity measures how sensitive demand or supply is to changes in price.,Scholars generally agree that elasticity measures how sensitive demand or supply is to changes in price.,1,0.68
Project-based learning encourages students to solve real-world problems collaboratively.,Project-based learning encourages typically students to solve real-world problems collaboratively.,1,0.95
Evolution occurs through natural selection acting on genetic variation.,The Tour de France is the most prestigious cycling race in the world.,0,0.03
Antibiotics work by inhibiting bacterial cell wall synthesis.,Antibiotics work by inhibiting bacterial cell wall synthesis.,1,0.76
"Stagflation is the combination of stagnant growth, high unemployment, and inflation.",Baking is a precise science requiring exact measurements and temperatures.,0,0.07
The stock market reflects investor sentiment and expectations about future earnings.,Swimming training typically involves multiple sessions per day for elite athletes.,0,0.05
"Permafrost thaw releases methane, accelerating global warming.","Evidence suggests that permafrost thaw releases methane, accelerating global warming.",1,0.75
Regular physical exercise reduces the risk of cardiovascular disease.,The art auction house sold the painting for a record-breaking sum at the gala.,0,0.07
The nervous system coordinates voluntary and involuntary actions of the body.,Baking is a precise science requiring exact measurements and temperatures.,0,0.07
Quantitative easing involves central banks purchasing securities to inject money.,Quantitative easing includes central banks purchasing securities to inject money.,1,0.88
Gravity is a fundamental force that attracts objects with mass toward one another.,attracts objects with mass toward one another. Gravity is a fundamental force that,1,0.87
The Great Wall of China was built over several dynasties to protect against invasions.,The Great Wall of China was built over several dynasties to protect against invasions.,1,0.61
Hypertension affects approximately one in three adults worldwide.,Hypertension affects about one in three adults worldwide.,1,0.88
Federated learning trains models across multiple devices without sharing raw data.,multiple devices without sharing raw data. Federated learning trains models across,1,0.96
Plate tectonics explains the movement of Earth's lithospheric plates.,movement of Earth's lithospheric plates. Plate tectonics explains the,1,0.79
Napoleon Bonaparte rose to power during the French Revolution and became Emperor.,Scholars generally agree that napoleon Bonaparte rose to power during the French Revolution and became Emperor.,1,0.63
Cybersecurity protects computer systems and networks from digital attacks.,Overtourism in popular destinations has raised concerns about cultural preservation.,0,0.04
"Microservices architecture breaks applications into small, independently deployable units.","Microservices architecture breaks applications into small, independently deployable units.",1,0.75
Homeostasis is the body's ability to maintain stable internal conditions.,Homeostasis is the body's ability to maintain stable internal conditions.,1,0.91
Early childhood education has long-lasting effects on cognitive development.,Early childhood education has long-lasting broadly effects on cognitive development.,1,0.98
The American Civil War was fought between 1861 and 1865 over slavery and secession.,"Gymnastics combines strength, flexibility, and artistic expression.",0,0.06
The speed of sound in air at 20 degrees Celsius is about 343 metres per second.,The speed of sound in air at 20 as has been documented extensively in scientific literature.,1,0.63
Artificial intelligence refers to the simulation of human intelligence in machines.,Artificial intelligence is defined as the simulation of human intelligence in machines.,1,0.84
Wildfires are becoming more frequent and intense due to climate change.,Wildfires are becoming more frequent and intense due to often climate change.,1,0.93
Transformers process input data in parallel using self-attention layers.,Transformers process input data in commonly parallel using self-attention layers.,1,0.89
Teachers who receive professional development deliver more effective instruction.,Teachers who receive professional development deliver more effective instruction.,1,0.85
Water scarcity affects over two billion people around the world.,Street food markets offer affordable and diverse culinary experiences globally.,0,0.05
Stars form from clouds of gas and dust collapsing under their own gravity.,Urban planning shapes the layout of cities to optimise transport and living space.,0,0.04
Venture capital provides funding to early-stage startups with high growth potential.,Venture typically capital provides funding to early-stage startups with high growth potential.,1,0.91
Hypertension affects approximately one in three adults worldwide.,Hypertension affects approximately one in three adults worldwide. This has been well established in the field.,1,0.66
Computer vision allows machines to interpret and understand visual information.,Computer vision allows machines to interpret and understand visual information.,1,0.81
Hyperparameter tuning optimises model settings that are not learned from data.,Hyperparameter tuning optimises model settings that are not learned from data.,1,0.84
"The speed of light in a vacuum is approximately 299,792 kilometres per second.","The speed of light in a vacuum is about 299,792 kilometres per second.",1,0.85
Smoking is the leading preventable cause of cancer and respiratory disease.,Smoking is the leading preventable cause and this has significant implications for modern research.,1,0.59
The prefrontal cortex is responsible for decision-making and impulse control.,The prefrontal cortex handles decision-making and impulse control.,1,0.74
Central banks use open market operations to control the money supply.,Central banks use open market operations to control the money supply.,1,0.83
Plate tectonics explains the movement of Earth lithospheric plates.,Ballet requires years of rigorous training to develop technique and artistry.,0,0.07
Evolution occurs through natural selection acting on genetic variation.,"Chocolate is made from cacao beans that are fermented, dried, and roasted.",0,0.01
